Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
612,0,0,0,0,118,1,0,0,0,0
613,0,0,0,0,107,1,0,0,0,0
614,0,0,0,0,96,0,0,0,0,0
615,0,0,0,0,96,0,0,0,0,0
616,0,0,0,0,118,0,0,0,0,0
617,0,0,0,0,111,0,0,0,0,0
618,0,0,0,0,104,0,0,0,0,0
619,0,0,0,0,117,0,0,0,0,0
620,0,0,0,0,120,0,0,0,0,0
621,0,0,0,0,96,0,0,0,0,0
622,0,0,0,0,100,0,0,0,0,0
623,0,0,0,0,122,0,0,0,0,0
624,0,0,0,0,109,0,0,0,0,0
625,0,0,0,0,97,0,0,0,0,0
626,0,0,0,0,96,0,0,0,0,0
627,0,0,0,0,90,0,0,0,0,0
