Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
599,0,0,0,0,99,0,0,0,0,0
600,0,0,0,0,98,0,0,0,0,0
601,0,0,0,0,108,0,0,0,0,0
602,0,0,0,0,82,0,0,0,0,0
603,0,0,0,0,77,0,0,0,0,0
604,0,0,0,0,95,0,0,0,0,0
605,0,0,0,0,116,0,0,0,0,0
606,0,0,0,0,102,0,0,0,0,0
607,0,0,0,0,91,0,0,0,0,0
608,0,0,0,0,98,0,0,0,0,0
609,0,0,0,0,85,0,0,0,0,0
610,0,0,0,0,106,0,0,0,0,0
611,0,0,0,0,103,0,0,0,0,0
612,0,0,0,0,96,0,0,0,0,0
613,0,0,0,0,101,0,0,0,0,0
614,0,0,0,0,113,0,0,0,0,0
615,0,0,0,0,97,0,0,0,0,0
616,0,0,0,0,98,0,0,0,0,0
617,0,0,0,0,90,0,0,0,0,0
618,0,0,0,0,97,0,0,0,0,0
619,0,0,0,0,109,0,0,0,0,0
620,0,0,0,0,80,0,0,0,0,0
621,0,0,0,0,120,0,0,0,0,0
622,0,0,0,0,91,0,0,0,0,0
623,0,0,0,0,107,0,0,0,0,0
624,0,0,0,0,94,0,0,0,0,0
625,0,0,0,0,95,0,0,0,0,0
